Date,GLD,SLV,USD_INR,DXY,USO,SPX,CPI,Rate,EUR_USD,VIX,Month
2019-01-02,1281.59,17.42,69.59,96.05,65.28,2722.96,2.05,2.56,1.1195,23.6,1
2019-01-03,1283.03,16.66,69.65,96.68,65.55,2734.3,2.14,2.49,1.107,19.82,1
2019-01-04,1286.98,16.45,71.05,97.42,67.46,2719.16,2.13,2.48,1.1287,14.79,1
2019-01-07,1293.74,16.21,70.03,97.06,64.57,2648.03,2.11,2.48,1.1274,29.01,1
2019-01-08,1294.86,16.11,70.44,96.31,63.19,2703.74,2.18,2.54,1.1132,18.31,1
2019-01-09,1295.99,16.21,69.66,96.99,67.4,2675.83,2.05,2.52,1.1271,15.69,1
2019-01-10,1302.92,17.04,69.68,95.76,68.07,2706.52,2.06,2.51,1.1237,23.65,1
2019-01-11,1307.24,17.2,70.62,97.9,70.9,2744.1,2.11,2.54,1.1072,16.12,1
2019-01-14,1307.6,16.37,69.41,96.81,65.79,2725.95,2.06,2.39,1.1115,24.65,1
2019-01-15,1311.19,17.4,69.89,97.87,71.06,2753.34,2.15,2.51,1.1314,14.52,1
2019-01-16,1311.56,16.86,70.13,96.55,73.89,2731.25,2.05,2.51,1.1231,23.72,1
2019-01-17,1311.91,17.11,70.18,96.55,68.81,2684.15,2.13,2.58,1.1144,18.8,1
2019-01-18,1314.52,17.73,70.04,96.35,67.39,2649.57,2.1,2.42,1.1114,23.16,1
2019-01-21,1310.23,17.39,70.34,97.66,69.56,2731.76,2.13,2.57,1.1148,25.61,1
2019-01-22,1306.53,16.88,70.5,96.39,70.81,2722.98,2.08,2.5,1.1156,13.47,1
2019-01-23,1306.54,16.63,70.53,97.47,72.31,2702.19,2.09,2.52,1.1115,23.1,1
2019-01-24,1305.1,16.11,69.68,96.65,70.39,2682.58,2.12,2.58,1.1026,12.36,1
2019-01-25,1307.89,16.71,70.04,95.37,75.08,2713.66,2.13,2.52,1.1314,13.81,1
2019-01-28,1306.76,16.9,70.8,96.49,70.13,2731.97,2.12,2.51,1.1297,14.79,1
2019-01-29,1304.01,16.56,70.66,96.0,69.27,2759.88,2.26,2.5,1.1073,20.01,1
2019-01-30,1310.45,16.98,69.53,96.97,75.35,2747.66,2.04,2.47,1.1214,18.13,1
2019-01-31,1311.46,17.08,70.41,95.98,68.97,2792.34,2.12,2.49,1.111,17.33,1
2019-02-01,1313.41,16.98,69.25,97.67,73.48,2715.13,2.0,2.45,1.1174,18.58,2
2019-02-04,1310.56,16.78,70.28,96.86,80.5,2774.73,2.15,2.49,1.1166,20.37,2
2019-02-05,1310.51,17.1,71.21,96.79,74.61,2751.82,2.03,2.37,1.1157,20.67,2
2019-02-06,1312.54,17.24,69.8,97.45,72.76,2773.34,2.1,2.51,1.14,22.38,2
2019-02-07,1310.52,16.6,69.87,97.69,75.25,2741.5,2.1,2.48,1.1156,25.28,2
2019-02-08,1313.37,17.64,70.68,96.9,75.61,2788.85,2.15,2.47,1.1119,17.91,2
2019-02-11,1313.08,17.03,69.54,96.3,76.39,2767.66,2.08,2.5,1.1124,15.92,2
2019-02-12,1313.75,17.09,70.0,95.49,77.74,2740.52,2.08,2.41,1.1304,20.45,2
2019-02-13,1313.42,17.36,70.63,96.36,74.68,2762.64,2.24,2.58,1.1035,13.42,2
